Alpha,Type,observed_ASVs,shannon,faith_PD
B10A01,A,751,6.367496081,60.65144561
B10A02,A,152,5.441308609,15.31763619
B10A03,A,466,5.758083529,35.64217439
B10A04,A,467,6.050754565,53.01349239
B10A05,A,492,6.076496107,43.13296182
B10A06,A,834,6.98723834,63.6491771
B10A07,A,963,7.504923349,63.61785763
B10A08,A,428,5.653953572,23.85020012
B10A09,A,419,5.814527925,34.69310342
B10A10,A,584,6.241881947,45.30478458
B10B01,A,389,5.391279246,21.60589046
B10B02,A,437,6.062611394,24.32158439
B10B04,A,190,3.624034948,23.17132191
B10B05,A,117,3.139049354,10.04050492
B10B06,A,336,5.467656493,22.04606129
B10B07,A,519,5.836156368,31.8977663
B10B08,A,649,6.969393468,32.28248223
B10B09,A,194,3.256693084,16.41203367
B11A02,A,552,5.316305029,42.24962452
B11A03,A,436,5.189216599,35.6772099
B11A04,A,464,6.136353809,33.95026892
B11A05,A,500,5.664445256,39.80511905
B11A06,A,449,5.355422322,32.01565409
B11A07,A,508,5.633092011,37.19154726
B11A08,A,434,6.001053928,29.33784784
B11A09,A,353,3.906161604,27.87453248
B11A10,A,410,5.267759356,30.96471562
B11B01,A,495,6.00675542,45.30226578
B11B02,A,590,6.113387454,54.98487932
B11B03,A,459,4.992939903,36.81581002
B11B04,A,649,6.944185759,60.87811389
B11B05,A,549,6.553477448,50.08926495
B11B06,A,583,6.406935067,53.08862123
B11B07,A,606,6.518882139,55.20754786
B11B08,A,491,4.581392033,44.55569672
B11B09,A,483,6.447765576,41.484623
B11B10,A,444,5.769462941,38.99403205
B11C01,A,510,6.346850327,43.67790024
B11C02,A,468,6.018236153,41.30679602
B11C03,A,571,6.936339562,48.71000275
B11C04,A,478,6.07677941,41.78767035
B11C05,A,539,6.442172048,52.59798132
B11C06,A,507,6.259768791,50.3745988
B11C07,A,539,6.46369421,57.08334407
B11C08,A,595,6.193187149,57.69606704
B11C09,A,597,6.904057976,50.87261447
B11C10,A,500,6.212876198,51.76267363
B21A01,B,499,5.009690085,35.38624351
B21A02,B,494,5.923842006,40.93848744
B21A03,B,492,5.724468701,32.34925171
B21A04,B,792,6.323558964,63.77517368
B21A05,B,366,3.92127201,29.42353227
B21A06,B,600,5.679274932,50.56937865
B21A07,B,630,6.252576168,46.85340074
B21A08,B,366,2.309754908,26.91902563
B21A09,B,568,6.136228797,41.26499155
B21A10,B,451,4.291288031,32.46559669
B21B01,B,612,5.882271246,47.45345546
B21B02,B,718,6.072765932,56.44618197
B21B03,B,528,5.847661836,43.26803073
B21B04,B,842,6.872098997,59.61461736
B21B05,B,670,6.179234274,53.22089736
B21B06,B,813,6.641666699,55.42320213
B21B07,B,641,6.055359109,51.0027375
B21B08,B,712,6.449509558,47.68507517
B21B09,B,614,6.098822338,49.29877691
B21B10,B,408,5.618316478,34.96142278
B22A01,B,465,6.268167539,40.18096259
B22A02,B,681,6.833619354,59.02838486
B22A03,B,520,6.277606173,45.13900052
B22A04,B,525,6.386880507,42.18320894
B22A05,B,570,6.661198772,44.79584651
B22A06,B,514,6.719892292,38.15460404
B22A07,B,629,6.590495543,58.98512143
B22A08,B,481,6.364234893,42.05690438
B22A09,B,602,6.627960116,51.56720077
B22A10,B,549,6.660887586,42.76020653
B22A11,B,617,6.78459774,60.1650546
B22A12,B,568,6.900543346,45.18436599
B22A13,B,542,6.612734846,42.46089486
B22A14,B,520,6.669174475,42.19881248
B22A15,B,445,6.139792726,36.0166536
B22A16,B,419,6.288450714,34.49893754
B22A17,B,556,6.553142451,42.40567077
B22B01,B,592,6.805017483,47.66075042
B22B04,B,831,7.278529065,62.33181597
B22B05,B,589,6.660632438,48.17549548
B22B07,B,886,7.855755091,75.4922003
B22B13,B,656,6.823723693,49.79096484
B22B14,B,796,7.703808167,56.09229547
B22B17,B,542,6.595917222,41.12432755
B22B15,B,450,6.189949222,36.3484647
