#ASV ID,B10A01,B10A02,B10A03,B10A04,B10A05,B10A06,B10A07,B10A08,B10A09,B10A10,B10B01,B10B02,B10B04,B10B05,B10B06,B10B07,B10B08,B10B09,B11A02,B11A03,B11A04,B11A05,B11A06,B11A07,B11A08,B11A09,B11A10,B11B01,B11B02,B11B03,B11B04,B11B05,B11B06,B11B07,B11B08,B11B09,B11B10,B11C01,B11C02,B11C03,B11C04,B11C05,B11C06,B11C07,B11C08,B11C09,B11C10,B21A01,B21A02,B21A03,B21A04,B21A05,B21A06,B21A07,B21A08,B21A09,B21A10,B21B01,B21B02,B21B03,B21B04,B21B05,B21B06,B21B07,B21B08,B21B09,B21B10,B22A01,B22A02,B22A03,B22A04,B22A05,B22A06,B22A07,B22A08,B22A09,B22A10,B22A11,B22A12,B22A13,B22A14,B22A15,B22A16,B22A17,B22B01,B22B04,B22B05,B22B07,B22B13,B22B14,B22B15,B22B17
ASV_0001,9,0,67,44,21,57,13,0,18,133,451,122,13,110,200,297,480,6,17836,3968,7335,8993,9485,1472,1333,2503,9390,9046,11076,14323,241,380,1375,4807,27651,396,301,1432,2131,2241,1708,630,306,351,510,2076,223,59250,10462,28435,9318,68961,32219,527,130322,8960,75783,285,432,273,1836,535,184,127,257,395,545,235,481,6,0,150,5,4,4,6,7,6,11,6,605,53,18,213,792,1905,133,178,453,77,114,90
ASV_0002,6448,1249,22763,15006,20480,23151,18052,1548,14218,20425,672,165,38,6,23,36,5,7,182,319,112,293,150,102,24,46,34,603,2580,1609,3093,1446,2144,2150,980,1393,115,2320,1043,1761,3295,4611,2283,3764,1962,4306,1535,9501,11934,10763,17584,4428,14655,13353,2047,13247,6841,20869,18371,20415,11272,10449,15545,14099,9121,17786,9420,610,884,258,424,470,309,668,450,465,583,439,362,608,814,228,224,177,2239,711,719,1940,1385,27,583,413
ASV_0003,1164,141,2444,1220,4409,1142,1133,32,2409,2256,94,27,5,31,184,156,1076,0,269,130,238,89,222,35,71,48,80,745,1028,836,1409,635,38,946,895,412,621,2207,6524,261,6069,2491,4754,1607,5450,182,5221,5187,7850,3001,1660,3377,4085,7716,1473,16312,1179,25863,20821,31064,12066,22669,9867,23535,17564,23822,23261,4856,4640,7545,6432,6478,4970,6445,6174,5602,3383,5909,3188,4760,3777,7721,6983,3632,1239,2702,2507,661,1693,499,1583,2008
ASV_0004,2486,339,8430,1858,6381,4168,1611,298,5758,7346,0,0,0,0,27,19,78,0,228,226,236,118,242,137,70,78,45,2277,4593,2706,3426,4356,842,2486,2036,1738,4044,1451,1830,671,7725,2883,1938,1434,3894,883,1342,3300,9206,1302,5417,545,3531,4217,517,4669,1985,10626,9714,11058,6480,7065,6584,10924,7362,9396,6515,5227,5946,4695,7058,5391,3795,7034,6497,5666,4799,4148,4292,4809,5003,7172,3479,2662,3522,6126,5031,1014,4492,433,6066,4514
ASV_0005,843,212,1469,1155,2005,1901,1452,169,1314,1514,59,15,56,153,17,47,28,133,199,151,155,143,223,69,51,43,32,1534,2053,473,2507,1795,1713,2534,2281,1138,740,1707,1784,451,1974,2213,2349,1307,1851,985,2445,12045,14396,9619,10411,4612,10120,14257,2003,15893,3689,5696,5313,4904,3250,3567,4503,4283,4398,5494,3725,2126,1925,2817,1556,1501,1511,2877,2121,1944,1886,1585,1917,2404,1987,1793,1868,1309,1799,2548,2150,516,2164,186,2375,1585
ASV_0006,67,0,22,16,29,17,0,2001,4,120,570,8,50,631,19,132,1326,46,17450,10178,3858,7287,10015,22209,2685,25078,10178,1274,682,14551,1609,2883,216,5323,1650,3462,1335,444,356,441,272,1331,439,1529,350,177,552,12790,151,6431,2037,4318,6334,2260,9420,10741,13375,524,53,32,598,322,575,53,193,541,59,29,8,19,0,7,151,31,38,66,124,26,36,637,57,69,78,55,38,46,22,10,52,74,153,0
ASV_0007,3496,565,3431,8519,3051,13121,6222,816,2411,2512,391,186,567,56,89,207,451,366,260,207,158,209,327,103,254,140,101,580,1688,357,571,462,1377,957,820,548,333,1596,1528,818,1919,2040,796,741,1706,1742,1006,2964,4901,1944,9239,1016,2658,3783,523,5320,1226,9955,11617,8611,13033,9417,19064,8783,10154,12527,8987,161,61,68,95,70,14,56,30,102,31,80,36,65,44,34,0,0,158,137,52,841,86,10,56,31
ASV_0008,100,0,251,58,474,472,487,9,213,216,6,0,0,0,10,14,0,0,50,38,93,8,40,21,14,9,0,371,599,694,645,1734,274,779,874,597,899,163,452,122,1188,424,503,402,1407,111,599,529,770,657,2019,137,107,421,75,1926,434,16065,14301,16951,10896,10633,13606,12672,13463,13337,9066,3929,1052,699,1091,1930,1914,1202,2868,3506,3180,1544,1623,4579,4092,3476,97,152,2046,2634,2323,4130,2507,237,2292,2034
ASV_0009,1065,293,4806,95,2499,630,446,32,3668,4869,69,0,0,0,0,0,6,0,35,41,40,18,74,13,0,7,10,388,756,191,250,464,214,630,551,321,891,431,392,149,397,981,780,545,882,251,1725,3923,6807,2947,1243,3925,3009,5715,933,11209,2999,541,625,765,567,395,532,498,505,558,362,6414,4607,8413,5974,2519,1954,2560,1495,2334,1372,1693,2269,4727,4602,4038,2643,1855,2056,3426,1883,515,2197,276,5404,4060
ASV_0010,578,32,3461,21,2841,2935,4641,11,3057,3772,0,0,0,0,0,0,0,0,68,135,55,278,52,53,39,50,31,2581,1426,3068,1724,1433,1436,3290,792,4853,5724,176,41,4362,29,156,106,1708,57,5377,515,4226,1823,2234,7197,2276,7666,6072,1174,6367,785,2665,3949,3748,1720,2294,1520,2400,558,859,877,638,390,414,1150,1047,555,888,785,739,2459,475,633,406,1652,537,390,318,2455,1771,2340,442,2651,131,1560,2896
ASV_0011,14757,1712,5224,1202,8038,749,5865,77,6302,7511,0,0,0,0,0,0,0,32,16,15,17,38,36,15,0,17,0,321,498,172,277,262,119,360,224,243,128,822,267,360,220,389,159,181,195,617,646,4059,5997,2774,615,1527,2144,3482,1263,6492,3290,351,326,524,607,855,351,611,537,961,581,2007,2733,4590,5368,2833,2058,1460,1034,1280,853,758,1121,1899,1454,3907,5816,2998,638,2603,595,878,849,479,1513,1548
ASV_0012,0,0,0,0,0,0,0,0,0,0,269,785,74842,66085,2242,1078,125,0,0,98,309,279,0,160,0,211,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0013,23337,3317,510,2239,523,1711,4430,4220,540,694,137,0,21,12,0,0,0,2388,185,223,156,213,284,156,65,132,96,346,723,112,235,255,120,552,838,351,331,5585,3267,1512,2170,6703,2767,2951,3039,4845,5074,1303,3504,1602,965,919,1061,1601,343,4654,1159,1357,2210,2073,4444,4458,5673,4383,5229,5284,3410,207,194,133,69,135,63,114,59,104,92,76,104,223,194,174,46,29,100,70,48,127,84,10,121,17
ASV_0014,299,0,2885,12,1246,228,588,11,2167,2428,0,0,0,0,0,0,0,0,115,200,201,66,333,70,51,54,20,1315,2252,884,116,1046,68,1885,1518,1589,1208,1532,3230,578,165,965,1415,2002,3263,420,4294,1664,2481,1282,22,1143,988,2886,384,4631,1262,3321,5192,5597,3042,3062,3289,4120,3541,4084,2598,2993,2275,1997,2219,1971,1617,534,2186,2372,2240,1577,2014,2416,3627,2937,1291,1234,2506,1710,1668,221,1864,151,2087,1508
ASV_0015,3941,381,3192,1409,2033,5740,3970,319,1787,3541,0,0,0,0,0,0,0,0,294,257,243,112,426,79,52,62,266,2707,2921,955,2294,2632,10600,2527,2113,792,5868,4069,984,460,1408,1147,4989,3993,2880,835,6460,907,1692,479,7980,491,3600,3120,260,1663,639,480,823,462,2260,444,1037,478,407,469,336,547,1559,1207,1403,811,883,3057,1426,832,1109,1456,914,536,638,979,1688,802,345,501,887,619,469,65,1047,714
ASV_0016,453,0,1439,670,1596,1335,779,55,1198,1270,46,18,0,171,30,0,0,148,127,127,110,97,145,0,51,28,0,651,825,185,984,895,892,1322,898,475,422,1474,1611,350,1238,1541,1730,1039,1443,772,1890,3878,5120,2747,5882,1975,4012,5520,625,5863,1030,2977,2649,2820,1968,1876,2324,2460,2353,2848,2141,1723,1581,2224,1228,1428,1647,2251,1860,1678,1846,1297,1372,1896,2013,2031,3112,2077,956,2187,1397,433,1124,163,1970,1217
ASV_0017,1608,195,10558,3247,7836,2807,1737,109,7262,8979,0,0,0,0,0,0,0,0,24,47,34,38,55,0,19,0,0,620,622,198,662,936,191,813,366,532,1368,436,114,198,268,531,290,610,263,473,771,2041,2482,765,2396,489,2602,3914,308,3352,853,967,1144,1052,1485,823,988,969,733,1018,663,5287,2046,1882,2435,2281,944,1908,1494,1742,1932,1775,1748,2545,2979,2965,893,556,1328,2192,2105,582,1690,407,1644,2377
ASV_0018,66,14,340,125,373,834,328,19,279,355,0,16,25,44,0,0,6,0,57,52,36,51,40,9,0,13,9,159,457,24,652,245,289,313,296,80,103,980,547,355,607,744,862,561,488,653,594,6701,7833,6293,10890,3326,5476,7768,1538,5795,1865,6787,6096,4098,3015,3476,3546,4506,4708,5446,3888,384,304,550,193,354,350,371,271,205,203,260,270,579,308,425,629,301,335,562,465,159,465,56,514,383
ASV_0019,0,0,0,0,0,0,0,7636,0,0,2121,8292,373,32851,4496,1341,215,66333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0020,498,21,10820,96,7068,3008,3389,9,7518,8449,0,0,0,0,0,0,0,5,14,17,16,45,19,54,14,17,6,421,529,728,321,552,231,1093,113,1337,417,11,24,579,6,25,6,87,7,744,53,1787,1017,1235,2524,980,3847,1786,393,3508,360,1014,1250,1530,432,709,669,788,123,444,231,1117,577,342,679,535,295,1031,1118,1339,1274,688,478,630,1622,449,403,325,4121,3707,4436,797,5352,271,2938,5488
ASV_0021,8720,2333,16057,15814,16029,388,327,92,15258,14708,82,37,46,680,54,53,38,130,6,0,0,0,0,0,0,0,0,20,30,0,0,27,0,21,24,8,13,38,22,50,32,21,75,31,24,116,11,89,94,62,35,96,50,144,28,295,71,38,31,28,81,46,83,54,48,48,49,180,186,201,146,330,236,105,211,162,144,182,207,382,276,339,401,60,68,391,93,35,154,25,300,117
ASV_0022,0,0,127,0,61,925,300,11231,42,55,21576,5133,12028,0,6401,3584,2091,17,245,1003,1464,2208,862,3128,497,906,1726,38,62,21,51,32,66,42,53,31,24,26,32,26,127,151,66,28,66,60,200,319,109,8697,491,751,2176,555,784,733,1093,25,88,97,266,968,272,121,146,266,389,51,175,530,500,95,139,56,36,36,40,61,28,130,34,80,22,31,29,114,28,68,12,253,34,38
ASV_0023,20054,2870,631,1870,536,114,2932,126,390,1112,11,0,0,0,0,0,0,188,0,0,0,16,0,0,0,0,0,19,24,0,12,20,20,0,19,8,8,98,34,83,26,32,36,30,60,215,24,261,418,238,158,272,416,624,90,540,189,95,264,136,506,355,549,762,113,197,325,1259,699,1849,2988,2066,1964,1798,1439,1308,1543,1221,1115,1732,1192,3293,5562,2015,176,2272,498,292,580,488,959,738
ASV_0024,393,29,2312,32,1320,4740,4330,22,1494,3092,0,0,0,0,0,0,0,0,21,17,16,55,12,16,22,24,13,475,604,507,517,1234,577,1276,176,834,41,10,12,551,23,31,12,66,44,711,22,931,1174,599,1900,175,688,998,84,1067,454,1301,1248,1617,625,686,361,885,268,1276,768,264,784,498,1003,886,668,2220,845,704,1557,1937,1060,421,309,352,1323,5047,616,429,817,3314,732,73,699,483
ASV_0025,5438,1424,9593,9329,9423,264,260,132,9469,8924,75,0,53,324,17,37,0,313,0,0,0,0,32,0,0,0,0,40,39,0,0,21,0,57,37,0,28,83,33,92,0,70,48,47,26,171,88,118,122,86,47,173,139,306,79,391,102,53,34,32,58,59,111,75,89,65,0,542,328,534,455,756,280,301,372,322,275,256,309,450,486,800,765,219,250,1052,170,99,316,67,798,527
ASV_0026,72,0,15595,291,8614,838,349,7,10344,7832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,46,31,129,0,0,0,0,0,29,0,0,0,0,0,63,0,14,120,70,62,117,21,196,0,76,41,18,14,9,230,124,96,122,68,45,49,756,335,1222,2043,864,1413,592,570,637,932,432,666,704,360,2062,2695,712,133,231,147,61,137,115,573,333
ASV_0027,4488,729,296,3447,555,1344,2674,161,204,597,12,0,39,0,0,0,0,24,36,34,49,23,30,5,0,0,3,54,141,47,113,62,218,48,98,46,84,203,163,101,1197,436,414,335,703,177,484,338,376,660,1808,171,293,195,53,777,437,2793,2914,3572,1751,1650,2859,1888,2776,3505,2189,319,1423,496,107,145,289,623,146,160,116,198,237,350,424,211,93,120,666,281,264,301,290,40,657,181
ASV_0028,1079,364,164,3160,467,1081,405,124,143,368,519,194,89,0,85,259,180,33,52,89,143,25,34,48,58,0,15,253,235,56,106,222,131,309,206,57,178,699,346,151,406,269,868,1795,3237,198,325,399,1106,513,375,349,657,627,86,803,698,645,655,388,885,429,1668,537,777,391,325,1065,1384,1441,1010,2017,1757,1755,1141,913,1146,1588,986,1470,1347,1686,1057,417,622,717,568,573,603,260,904,336
ASV_0029,2643,303,1365,1724,2401,1420,936,0,1199,1441,0,6,9,0,0,0,0,351,13,22,10,25,13,37,0,0,3,76,37,42,343,128,194,353,53,94,50,625,22,167,19,431,308,476,33,437,137,28,282,38,187,20,36,1023,0,78,30,104,161,297,280,221,289,189,89,92,129,557,889,2071,1057,997,2990,2039,1707,1347,2247,1625,1394,1475,816,2434,2213,285,296,1704,983,516,323,750,960,1758
ASV_0030,278,41,2355,490,2660,1007,789,30,1814,2194,0,0,0,0,0,0,0,0,9,6,5,0,16,0,0,0,3,46,106,13,41,40,23,40,53,23,30,147,106,76,44,171,115,54,46,160,218,1180,481,784,588,761,605,1001,358,1303,305,67,43,19,44,45,120,37,58,35,30,683,1722,2959,1621,1577,1439,1397,1016,1295,1185,1207,1209,2051,1913,1294,2869,1078,313,2524,878,177,711,223,1132,986
ASV_0031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,115,161,164,86,179,27,24,24,15,28,24,29,16,42,13,24,21,51,108,7594,7253,1456,1567,5186,4211,5354,7366,2139,6487,37,22,6,0,0,3,38,8,9,0,404,387,501,205,316,231,424,314,382,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0032,205,0,4055,346,4918,6400,2887,15,3308,4357,5,0,12,0,0,0,0,3,30,42,25,74,24,0,30,18,17,294,379,286,653,615,1015,1403,68,758,55,41,63,986,172,84,155,465,242,1059,65,48,194,61,1209,54,269,293,27,152,55,797,904,958,430,566,513,702,208,757,340,94,160,66,178,197,152,791,388,241,679,644,193,124,102,134,485,793,189,130,114,451,100,10,259,189
ASV_0033,0,0,0,0,0,0,0,0,0,0,31,6,0,97,19,0,0,248,18,27,6,30,0,0,7,21,34,0,0,0,0,0,0,0,0,0,0,24,31,0,145,157,136,76,45,12,0,2133,3857,1372,260,2520,925,3356,438,7134,698,2774,2680,3162,2171,2707,1989,2367,2404,2982,1931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_0034,0,0,0,0,0,0,0,0,0,0,21172,1203,0,3226,2119,6211,450,0,1386,974,862,902,1084,1665,1041,2533,640,0,0,19,26,0,0,22,24,0,38,0,119,51,125,561,74,46,50,72,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,19,0,0,0,0,0,0,0,0,0,23,47,0,0,0,0,0,0,0,0
ASV_0035,207,0,3405,574,2782,2210,1151,0,2253,2330,43,0,87,29,18,0,18,99,68,55,47,41,60,0,22,0,0,233,349,73,329,184,204,360,515,119,192,1153,715,298,983,1410,893,564,818,720,808,337,464,219,1790,246,390,412,114,584,124,616,497,403,719,496,1215,470,680,491,367,349,1026,875,307,337,276,302,96,231,229,313,382,276,535,468,455,139,205,167,149,181,252,42,165,103
