SampleID,Group,Air temperature_BYB,Precipition_BYB,Air temperature_YQ,Precipition_YQ,WL,TDS,WT,TN,Chl.a,observed_ASVs,shannon,faith_PD,ecological_stability,functional_structure,FRI
B10A01,A,12,95.9,24.4,8.1,1045.6,1290,25,0.82,5.1,751,6.367496081,60.65144561,0.4275625,-0.177655953,0.26708637
B10A02,A,12,95.9,24.4,8.1,1045.6,1380,23,0.86,4.2,152,5.441308609,15.31763619,0.8191788,-0.180149808,-0.445452328
B10A03,A,12,95.9,24.4,8.1,1045.6,1469,24,0.86,1.7,466,5.758083529,35.64217439,0.7412701,-0.061529671,-0.013328608
B10A04,A,12,95.9,24.4,8.1,1045.6,1610,23,0.87,2.7,467,6.050754565,53.01349239,0.5522592,-0.215372302,-0.089205
B10A05,A,12,95.9,24.4,8.1,1045.6,1515,23,0.88,1.9,492,6.076496107,43.13296182,0.6750324,-0.121060911,0.038049182
B10A06,A,12,95.9,24.4,8.1,1045.6,1484,23,0.88,4,834,6.98723834,63.6491771,0.4658574,-0.137666615,0.334415303
B10A07,A,12,95.9,24.4,8.1,1045.6,1461,18,0.83,7.9,963,7.504923349,63.61785763,0.3639259,-0.077741865,0.330009664
B10A08,A,12,95.9,24.4,8.1,1045.6,1411,18,0.84,5.2,428,5.653953572,23.85020012,0.6280981,0.036707342,-0.096637787
B10A09,A,12,95.9,24.4,8.1,1045.6,1482,24,0.89,1.8,419,5.814527925,34.69310342,0.7604809,-0.105702178,-0.129765227
B10A10,A,12,95.9,24.4,8.1,1045.6,1446,24,0.84,1.4,584,6.241881947,45.30478458,0.6963159,-0.124024741,0.124842025
B10B01,A,-1.6,15,10.4,23.3,1045.85,1444,15,1.47,3.4,389,5.391279246,21.60589046,0.6355551,0.240167111,-0.130048152
B10B02,A,-1.6,15,10.4,23.3,1045.85,1408,15,1.43,2.9,437,6.062611394,24.32158439,0.5233255,0.258639767,-0.016945706
B10B04,A,-1.6,15,10.4,23.3,1045.85,1570,15,1.4,0.6,190,3.624034948,23.17132191,0.7474795,0.215158472,-0.465730692
B10B05,A,-1.6,15,10.4,23.3,1045.85,1383,15,1.39,1.2,117,3.139049354,10.04050492,0.7852165,0.192352546,-0.475900559
B10B06,A,-1.6,15,10.4,23.3,1045.85,1421,15,1.62,1.3,336,5.467656493,22.04606129,0.6329526,0.243563315,-0.196763888
B10B07,A,-1.6,15,10.4,23.3,1045.85,1422,15,1.4,1.8,519,5.836156368,31.8977663,0.4991236,0.197827571,0.082968414
B10B08,A,-1.6,15,10.4,23.3,1045.85,1175,15,1.33,6.4,649,6.969393468,32.28248223,0.4221705,0.241552768,0.217059751
B10B09,A,-1.6,15,10.4,23.3,1045.85,1416,15,1.56,1.5,194,3.256693084,16.41203367,0.7599306,-0.014961241,-0.473130026
B11A02,A,10.6,111.1,23.3,4.2,1046.09,1414,26,1.11,8.3,552,5.316305029,42.24962452,0.6549399,0.117786144,0.066338457
B11A03,A,10.6,111.1,23.3,4.2,1046.09,1409,26,1.04,0.8,436,5.189216599,35.6772099,0.7505272,0.135211462,-0.110459557
B11A04,A,10.6,111.1,23.3,4.2,1046.09,1763,26,1.13,0.6,464,6.136353809,33.95026892,0.7289678,0.150169492,-0.048100651
B11A05,A,10.6,111.1,23.3,4.2,1046.09,1435,26,1.13,0.4,500,5.664445256,39.80511905,0.7337121,0.101642062,-0.04833382
B11A06,A,10.6,111.1,23.3,4.2,1046.09,1498,26,1.19,2.7,449,5.355422322,32.01565409,0.7444093,0.168983962,-0.152267454
B11A07,A,10.6,111.1,23.3,4.2,1046.09,1439,26,1.11,1.3,508,5.633092011,37.19154726,0.5765606,0.048764187,0.044966441
B11A08,A,10.6,111.1,23.3,4.2,1046.09,1424,26,1.12,2.9,434,6.001053928,29.33784784,0.6969701,0.233326421,-0.135193753
B11A09,A,10.6,111.1,23.3,4.2,1046.09,1416,26,1.08,1.1,353,3.906161604,27.87453248,0.7643737,0.187465848,-0.199722043
B11A10,A,10.6,111.1,23.3,4.2,1046.09,1422,26,1.17,0.8,410,5.267759356,30.96471562,0.744046,0.19908578,-0.190210749
B11B01,A,-0.9,15,9.6,4.2,1045.81,1241,17,0.96,8.9,495,6.00675542,45.30226578,0.8018389,0.002252215,-0.075136263
B11B02,A,-0.9,15,9.6,4.2,1045.81,1256,14,0.93,5.9,590,6.113387454,54.98487932,0.7542392,-0.03756908,0.092282769
B11B03,A,-0.9,15,9.6,4.2,1045.81,1392,18,0.99,1.5,459,4.992939903,36.81581002,0.792987,0.109980736,-0.143329606
B11B04,A,-0.9,15,9.6,4.2,1045.81,1497,18,0.96,0.1,649,6.944185759,60.87811389,0.6512201,-0.052211878,0.165296269
B11B05,A,-0.9,15,9.6,4.2,1045.81,1437,18,0.93,0.8,549,6.553477448,50.08926495,0.783035,-0.021547485,0.023101163
B11B06,A,-0.9,15,9.6,4.2,1045.81,1441,16,0.97,0.9,583,6.406935067,53.08862123,0.7307078,-0.031723859,0.118046019
B11B07,A,-0.9,15,9.6,4.2,1045.81,1448,18,0.95,0.2,606,6.518882139,55.20754786,0.7443873,-0.034107967,0.089436134
B11B08,A,-0.9,15,9.6,4.2,1045.81,1502,17,0.94,1.6,491,4.581392033,44.55569672,0.7770092,-0.004261514,-0.073845858
B11B09,A,-0.9,15,9.6,4.2,1045.81,1429,18,0.94,0.4,483,6.447765576,41.484623,0.8000424,0.026513698,-0.154013527
B11B10,A,-0.9,15,9.6,4.2,1045.81,1420,17,0.98,1.1,444,5.769462941,38.99403205,0.8056738,0.015318596,-0.169028338
B11C01,A,6.5,15.4,17.7,0,1045.85,1344,23,0.94,2.2,510,6.346850327,43.67790024,0.7407591,-0.118853979,-0.043874629
B11C02,A,6.5,15.4,17.7,0,1045.85,1344,23,0.95,2.1,468,6.018236153,41.30679602,0.767432,-0.065865449,-0.090223999
B11C03,A,6.5,15.4,17.7,0,1045.85,1444,24.4,1,2,571,6.936339562,48.71000275,0.7749033,-0.105918814,-0.003413028
B11C04,A,6.5,15.4,17.7,0,1045.85,1525,21.6,1.12,0.7,478,6.07677941,41.78767035,0.741338,-0.047603274,-0.056494014
B11C05,A,6.5,15.4,17.7,0,1045.85,1446,23,1.07,1.3,539,6.442172048,52.59798132,0.7411189,-0.063056278,-0.021154676
B11C06,A,6.5,15.4,17.7,0,1045.85,1479,22,1.11,1.1,507,6.259768791,50.3745988,0.7622116,-0.066651072,-0.051522693
B11C07,A,6.5,15.4,17.7,0,1045.85,1456,23,1.05,1.5,539,6.46369421,57.08334407,0.7690687,-0.108016866,-0.026979751
B11C08,A,6.5,15.4,17.7,0,1045.85,1436,23,1,1.9,595,6.193187149,57.69606704,0.7545247,-0.035795566,0.024788696
B11C09,A,6.5,15.4,17.7,0,1045.85,1442,24,0.96,1.4,597,6.904057976,50.87261447,0.7267689,-0.10591836,0.043096703
B11C10,A,6.5,15.4,17.7,0,1045.85,1417,24.7,1.04,1.2,500,6.212876198,51.76267363,0.737777,-0.091769812,-0.080905467
B21A01,B,13.1,50.3,25.9,8.1,1047.94,904,27.1,0.696,4.26,499,5.009690085,35.38624351,0.7491687,0.013709182,0.00875617
B21A02,B,13.1,50.3,25.9,8.1,1047.94,910,27,0.759,7.29,494,5.923842006,40.93848744,0.7162231,-0.065851849,-0.076045945
B21A03,B,13.1,50.3,25.9,8.1,1047.94,917,27.2,0.809,6.2,492,5.724468701,32.34925171,0.7434421,0.084713396,-0.028768884
B21A04,B,13.1,50.3,25.9,8.1,1047.94,1008,27,0.738,4.82,792,6.323558964,63.77517368,0.5150879,-0.10142831,0.299555209
B21A05,B,13.1,50.3,25.9,8.1,1047.94,930,27.1,0.69,7.23,366,3.92127201,29.42353227,0.7914515,0.031729403,-0.278996744
B21A06,B,13.1,50.3,25.9,8.1,1047.94,878,27,0.684,6.14,600,5.679274932,50.56937865,0.7234061,-0.0039081,0.117848893
B21A07,B,13.1,50.3,25.9,8.1,1047.94,917,27.2,0.704,4.45,630,6.252576168,46.85340074,0.7191457,-0.039327627,0.146339292
B21A08,B,13.1,50.3,25.9,8.1,1047.94,819,25.6,0.653,5.25,366,2.309754908,26.91902563,0.7843505,0.119751547,-0.193995883
B21A09,B,13.1,50.3,25.9,8.1,1047.94,923,26.8,0.697,5.33,568,6.136228797,41.26499155,0.679729,-0.036078567,0.118698444
B21A10,B,13.1,50.3,25.9,8.1,1047.94,917,28,0.774,7.75,451,4.291288031,32.46559669,0.755571,0.048236752,-0.118990971
B21B01,B,-4.4,16.4,8.1,5.6,1047.6,917,15.1,0.716,3.87,612,5.882271246,47.45345546,0.7121917,-0.026911422,0.15756066
B21B02,B,-4.4,16.4,8.1,5.6,1047.6,910,15.3,0.715,4.66,718,6.072765932,56.44618197,0.6664052,-0.055455728,0.279045804
B21B03,B,-4.4,16.4,8.1,5.6,1047.6,904,14.5,0.663,5.36,528,5.847661836,43.26803073,0.7156875,-0.049468797,0.034759914
B21B04,B,-4.4,16.4,8.1,5.6,1047.6,943,12.9,0.727,3.27,842,6.872098997,59.61461736,0.5836109,-0.042244184,0.320668347
B21B05,B,-4.4,16.4,8.1,5.6,1047.6,910,15.1,0.683,4.28,670,6.179234274,53.22089736,0.7140203,-0.056008436,0.186262427
B21B06,B,-4.4,16.4,8.1,5.6,1047.6,923,14.5,0.734,4.56,813,6.641666699,55.42320213,0.6073086,-0.037416782,0.306791283
B21B07,B,-4.4,16.4,8.1,5.6,1047.6,917,14.6,0.69,4.41,641,6.055359109,51.0027375,0.7204845,-0.067440178,0.212571157
B21B08,B,-4.4,16.4,8.1,5.6,1047.6,852,13.6,0.671,4.12,712,6.449509558,47.68507517,0.6147338,-0.008854697,0.223528168
B21B09,B,-4.4,16.4,8.1,5.6,1047.6,910,16.4,0.736,5.45,614,6.098822338,49.29877691,0.7010131,-0.035524047,0.154830246
B21B10,B,-4.4,16.4,8.1,5.6,1047.6,904,14.5,0.688,5.87,408,5.618316478,34.96142278,0.7908992,-0.0313532,-0.276442376
B22A01,B,10.4,96.8,22.6,18.5,1047.31,961,24.6,0.8,2.02,465,6.268167539,40.18096259,0.7549638,-0.057046495,-0.165560856
B22A02,B,10.4,96.8,22.6,18.5,1047.31,941,25.3,0.755,1.86,681,6.833619354,59.02838486,0.5629034,-0.038051686,0.183719186
B22A03,B,10.4,96.8,22.6,18.5,1047.31,953,25.5,0.998,2.16,520,6.277606173,45.13900052,0.6645112,0.029506931,0.005197085
B22A04,B,10.4,96.8,22.6,18.5,1047.31,956,25.9,0.893,1.76,525,6.386880507,42.18320894,0.7008527,0.029532098,0.048419663
B22A05,B,10.4,96.8,22.6,18.5,1047.31,964,25.6,0.781,1.7,570,6.661198772,44.79584651,0.6988635,-0.034631372,0.03528849
B22A06,B,10.4,96.8,22.6,18.5,1047.31,968,25.5,0.67,1.48,514,6.719892292,38.15460404,0.7553181,0.029032045,-0.050120368
B22A07,B,10.4,96.8,22.6,18.5,1047.31,997,25.4,0.724,2.85,629,6.590495543,58.98512143,0.6446783,-0.092946498,0.128391168
