,climate,environment,diversity,ecological_stability,functional_structure,FRI
B10A01,1.46591784,-0.266127552,1.897268351,0.4275625,-0.177655953,0.26708637
B10A02,1.46591784,-0.772764607,-3.269943629,0.8191788,-0.180149808,-0.445452328
B10A03,1.46591784,-1.283149729,-0.826604073,0.7412701,-0.061529671,-0.013328608
B10A04,1.46591784,-1.509213081,0.188966035,0.5522592,-0.215372302,-0.089205
B10A05,1.46591784,-1.443486611,-0.171988377,0.6750324,-0.121060911,0.038049182
B10A06,1.46591784,-1.069385817,2.74309546,0.4658574,-0.137666615,0.334415303
B10A07,1.46591784,-0.576132339,3.569355619,0.3639259,-0.077741865,0.330009664
B10A08,1.46591784,-0.885376351,-1.612010334,0.6280981,0.036707342,-0.096637787
B10A09,1.46591784,-1.361659358,-1.030165762,0.7604809,-0.105702178,-0.129765227
B10A10,1.46591784,-1.234101325,0.403652187,0.6963159,-0.124024741,0.124842025
B10B01,-1.802874796,-2.568285372,-2.033089304,0.6355551,0.240167111,-0.130048152
B10B02,-1.802874796,-2.477082382,-1.312709883,0.5233255,0.258639767,-0.016945706
B10B04,-1.802874796,-3.09734043,-3.803188354,0.7474795,0.215158472,-0.465730692
B10B05,-1.802874796,-2.585195475,-5.019065295,0.7852165,0.192352546,-0.475900559
B10B06,-1.802874796,-3.151908808,-2.182158379,0.6329526,0.243563315,-0.196763888
B10B07,-1.802874796,-2.603064504,-0.746549367,0.4991236,0.197827571,0.082968414
B10B08,-1.802874796,-1.245982464,0.465346759,0.4221705,0.241552768,0.217059751
B10B09,-1.802874796,-2.98155798,-4.329370611,0.7599306,-0.014961241,-0.473130026
B11A02,1.355690696,-0.331343035,-0.417469225,0.6549399,0.117786144,0.066338457
B11A03,1.355690696,-1.266252802,-1.2807712,0.7505272,0.135211462,-0.110459557
B11A04,1.355690696,-2.253154521,-0.694374173,0.7289678,0.150169492,-0.048100651
B11A05,1.355690696,-1.576245485,-0.542323944,0.7337121,0.101642062,-0.04833382
B11A06,1.355690696,-1.505567376,-1.307369698,0.7444093,0.168983962,-0.152267454
B11A07,1.355690696,-1.409694679,-0.654580567,0.5765606,0.048764187,0.044966441
B11A08,1.355690696,-1.164941184,-1.118576501,0.6969701,0.233326421,-0.135193753
B11A09,1.355690696,-1.324291232,-2.748359131,0.7643737,0.187465848,-0.199722043
B11A10,1.355690696,-1.576587986,-1.567996059,0.744046,0.19908578,-0.190210749
B11B01,-2.252122559,-0.15011472,-0.095907067,0.8018389,0.002252215,-0.075136263
B11B02,-2.252122559,-0.69773642,0.820448529,0.7542392,-0.03756908,0.092282769
B11B03,-2.252122559,-1.576310954,-1.247608299,0.792987,0.109980736,-0.143329606
B11B04,-2.252122559,-1.942123602,1.832720515,0.6512201,-0.052211878,0.165296269
B11B05,-2.252122559,-1.645334586,0.675777133,0.783035,-0.021547485,0.023101163
B11B06,-2.252122559,-1.820453387,0.872748432,0.7307078,-0.031723859,0.118046019
B11B07,-2.252122559,-1.800271972,1.134291807,0.7443873,-0.034107967,0.089436134
B11B08,-2.252122559,-1.737042775,-0.985240361,0.7770092,-0.004261514,-0.073845858
B11B09,-2.252122559,-1.708373991,-0.070185736,0.8000424,0.026513698,-0.154013527
B11B10,-2.252122559,-1.720553739,-0.747235384,0.8056738,0.015318596,-0.169028338
B11C01,-0.934412138,-1.000446666,0.08619484,0.7407591,-0.118853979,-0.043874629
B11C02,-0.934412138,-1.03680171,-0.391915055,0.767432,-0.065865449,-0.090223999
B11C03,-0.934412138,-1.309344687,0.923262089,0.7749033,-0.105918814,-0.003413028
B11C04,-0.934412138,-2.066607635,-0.293691031,0.741338,-0.047603274,-0.056494014
B11C05,-0.934412138,-1.634122981,0.691072492,0.7411189,-0.063056278,-0.021154676
B11C06,-0.934412138,-1.868453256,0.346564104,0.7622116,-0.066651072,-0.051522693
B11C07,-0.934412138,-1.582942809,0.920511827,0.7690687,-0.108016866,-0.026979751
B11C08,-0.934412138,-1.372743858,1.018656084,0.7545247,-0.035795566,0.024788696
