SampleID	Group
B10A01	warm-dry
B10A02	warm-dry
B10A03	warm-dry
B10A04	warm-dry
B10A05	warm-dry
B10A06	warm-dry
B10A07	warm-dry
B10A08	warm-dry
B10A09	warm-dry
B10A10	warm-dry
B10B01	warm-dry
B10B02	warm-dry
B10B04	warm-dry
B10B05	warm-dry
B10B06	warm-dry
B10B07	warm-dry
B10B08	warm-dry
B10B09	warm-dry
B11A02	warm-dry
B11A03	warm-dry
B11A04	warm-dry
B11A05	warm-dry
B11A06	warm-dry
B11A07	warm-dry
B11A08	warm-dry
B11A09	warm-dry
B11A10	warm-dry
B11B01	warm-dry
B11B02	warm-dry
B11B03	warm-dry
B11B04	warm-dry
B11B05	warm-dry
B11B06	warm-dry
B11B07	warm-dry
B11B08	warm-dry
B11B09	warm-dry
B11B10	warm-dry
B11C01	warm-dry
B11C02	warm-dry
B11C03	warm-dry
B11C04	warm-dry
B11C05	warm-dry
B11C06	warm-dry
B11C07	warm-dry
B11C08	warm-dry
B11C09	warm-dry
B11C10	warm-dry
B21A01	warm-wet
B21A02	warm-wet
B21A03	warm-wet
B21A04	warm-wet
B21A05	warm-wet
B21A06	warm-wet
B21A07	warm-wet
B21A08	warm-wet
B21A09	warm-wet
B21A10	warm-wet
B21B01	warm-wet
B21B02	warm-wet
B21B03	warm-wet
B21B04	warm-wet
B21B05	warm-wet
B21B06	warm-wet
B21B07	warm-wet
B21B08	warm-wet
B21B09	warm-wet
B21B10	warm-wet
B22A01	warm-wet
B22A02	warm-wet
B22A03	warm-wet
B22A04	warm-wet
B22A05	warm-wet
B22A06	warm-wet
B22A07	warm-wet
B22A08	warm-wet
B22A09	warm-wet
B22A10	warm-wet
B22A11	warm-wet
B22A12	warm-wet
B22A13	warm-wet
B22A14	warm-wet
B22A15	warm-wet
B22A16	warm-wet
B22A17	warm-wet
B22B01	warm-wet
B22B04	warm-wet
B22B05	warm-wet
B22B07	warm-wet
B22B13	warm-wet
B22B14	warm-wet
B22B15	warm-wet
B22B17	warm-wet
