SampleID,Group,Year,Month
B10A01,warm-dry,2010,7
B10A02,warm-dry,2010,7
B10A03,warm-dry,2010,7
B10A04,warm-dry,2010,7
B10A05,warm-dry,2010,7
B10A06,warm-dry,2010,7
B10A07,warm-dry,2010,7
B10A08,warm-dry,2010,7
B10A09,warm-dry,2010,7
B10A10,warm-dry,2010,7
B10B01,warm-dry,2010,10
B10B02,warm-dry,2010,10
B10B04,warm-dry,2010,10
B10B05,warm-dry,2010,10
B10B06,warm-dry,2010,10
B10B07,warm-dry,2010,10
B10B08,warm-dry,2010,10
B10B09,warm-dry,2010,10
B11A02,warm-dry,2011,8
B11A03,warm-dry,2011,8
B11A04,warm-dry,2011,8
B11A05,warm-dry,2011,8
B11A06,warm-dry,2011,8
B11A07,warm-dry,2011,8
B11A08,warm-dry,2011,8
B11A09,warm-dry,2011,8
B11A10,warm-dry,2011,8
B11B01,warm-dry,2011,10
B11B02,warm-dry,2011,10
B11B03,warm-dry,2011,10
B11B04,warm-dry,2011,10
B11B05,warm-dry,2011,10
B11B06,warm-dry,2011,10
B11B07,warm-dry,2011,10
B11B08,warm-dry,2011,10
B11B09,warm-dry,2011,10
B11B10,warm-dry,2011,10
B11C01,warm-dry,2011,9
B11C02,warm-dry,2011,9
B11C03,warm-dry,2011,9
B11C04,warm-dry,2011,9
B11C05,warm-dry,2011,9
B11C06,warm-dry,2011,9
B11C07,warm-dry,2011,9
B11C08,warm-dry,2011,9
B11C09,warm-dry,2011,9
B11C10,warm-dry,2011,9
B21A01,warm-wet,2021,7
B21A02,warm-wet,2021,7
B21A03,warm-wet,2021,7
B21A04,warm-wet,2021,7
B21A05,warm-wet,2021,7
B21A06,warm-wet,2021,7
B21A07,warm-wet,2021,7
B21A08,warm-wet,2021,7
B21A09,warm-wet,2021,7
B21A10,warm-wet,2021,7
B21B01,warm-wet,2021,10
B21B02,warm-wet,2021,10
B21B03,warm-wet,2021,10
B21B04,warm-wet,2021,10
B21B05,warm-wet,2021,10
B21B06,warm-wet,2021,10
B21B07,warm-wet,2021,10
B21B08,warm-wet,2021,10
B21B09,warm-wet,2021,10
B21B10,warm-wet,2021,10
B22A01,warm-wet,2022,8
B22A02,warm-wet,2022,8
B22A03,warm-wet,2022,8
B22A04,warm-wet,2022,8
B22A05,warm-wet,2022,8
B22A06,warm-wet,2022,8
B22A07,warm-wet,2022,8
B22A08,warm-wet,2022,8
B22A09,warm-wet,2022,8
B22A10,warm-wet,2022,8
B22A11,warm-wet,2022,8
B22A12,warm-wet,2022,8
B22A13,warm-wet,2022,8
B22A14,warm-wet,2022,8
B22A15,warm-wet,2022,8
B22A16,warm-wet,2022,8
B22A17,warm-wet,2022,8
B22B01,warm-wet,2022,8
B22B04,warm-wet,2022,8
B22B05,warm-wet,2022,8
B22B07,warm-wet,2022,8
B22B13,warm-wet,2022,8
B22B14,warm-wet,2022,8
B22B15,warm-wet,2022,8
B22B17,warm-wet,2022,8
