#ASV ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_0001,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_lwoffii
ASV_0002,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Methylacidiphilales,f__Methylacidiphilaceae,g__uncultured,s__marine_metagenome
ASV_0003,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,
ASV_0004,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,,
ASV_0005,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__LD29,s__uncultured_bacterium
ASV_0006,d__Bacteria,p__Firmicutes,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae,g__Exiguobacterium,
ASV_0007,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__LD29,s__uncultured_bacterium
ASV_0008,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,
ASV_0009,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,
ASV_0010,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,
ASV_0011,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,
ASV_0012,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,s__Brevundimonas_diminuta
ASV_0013,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_Synechococcus
ASV_0014,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__CL500-29_marine_group,
ASV_0015,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Candidatus_Aquiluna,s__uncultured_bacterium
ASV_0016,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__LD29,s__uncultured_bacterium
ASV_0017,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Candidatus_Limnoluna,s__uncultured_bacterium
ASV_0018,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__LD29,s__uncultured_marine
ASV_0019,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Microbacteriaceae,g__Microbacterium,
ASV_0020,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Sporichthyaceae,g__hgcI_clade,
ASV_0021,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,
ASV_0022,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
ASV_0023,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__uncultured_marine
ASV_0024,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,
ASV_0025,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,
ASV_0026,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Cyanobacteriales,f__Microcystaceae,g__Microcystis_PCC-7914,s__Radiocystis_sp.
ASV_0027,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,s__uncultured_bacterium
ASV_0028,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__metagenome
ASV_0029,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pirellula,s__bacterium_enrichment
ASV_0030,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__LD29,s__uncultured_bacterium
ASV_0031,d__Bacteria,p__Patescibacteria,c__WWE3,o__WWE3,f__WWE3,g__WWE3,s__uncultured_bacterium
ASV_0032,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__MWH-UniP1_aquatic_group,g__MWH-UniP1_aquatic_group,
